num_obra	cod_material	descricao	und_medida	qtdprevista	qtdrealizada	val_material	val_requisitado	nome
0612600596	90689	LACO PREF DISTR ACO-ZN ROLD 8,65-9,70MM 615MM AMR COX	UN	1	1	5,1852	5,1852	ARAGUAÍNA
0612600596	90790	CONECTOR CUNHA ALUM CN-06 9,25-14,53/6,55-14,53MM AZL	UN	6	6	16,295	97,77	ARAGUAÍNA
0612600596	90791	CONECTOR CUNHA ALUM CN-10 8,23-14,53/4,11-11,79MM AZL	UN	8	8	16,325	130,6	ARAGUAÍNA
0612600596	90797	CONECTOR CUNHA ALUM CN-13 6,55-10,11/5,18-8,38MM VRM	UN	21	21	6,775	142,275	ARAGUAÍNA
0612600596	90826	CONEC TERM CPR CB/BAR RT RLD ALUM 1F 7,70-8,60MM 85X23MM	UN	9	9	4,89	44,01	ARAGUAÍNA
0612600596	90901	SUPORTE EQUIP DT SMP ACO-GALV 185X95MM 360X76X8MM 3000DAN	PC	2	2	103,39	206,78	ARAGUAÍNA
0612600596	91085	TRANSF DISTR AER OVI 3F 13,8KV 380/220V 112,5KVA CL2 4TP	UN	1	1	20881,56	20881,56	ARAGUAÍNA
0612600596	648571	PLAQUETA IDENTIFICACAO DE EQUIPAMENTOS AL AMARELA 200X70X1MM	UN	1	1	5,27	5,27	ARAGUAÍNA
0612600604	90069	TRANSF DISTR AER OMI 1F 19,919KV 440/220V 15KVA CL2 5TP	UN	1	1	5819,26	5819,26	PIRAQUÊ
0612600604	90208	PARA-RAIOS DISTR BT POLIM 220V 10KA OX MT S/CENT RSI	UN	2	2	16,49	32,98	PIRAQUÊ
0612600604	90212	PARA-RAIOS DISTR MT POLIM 30KV 10KA OX ZN S/CENT S/FERR	UN	1	1	182,19	182,19	PIRAQUÊ
0612600604	90257	CABO ACO COBREADO 1F LCA IACS53% 7X2,06MM 25MM2	KG	4	4	82,62	330,48	PIRAQUÊ
0612600604	90294	CABO COBR PROT SPL XLPE 1F 15,0KV 16MM2 BLOQ CNZ	M	3	3	11,44	34,32	PIRAQUÊ
0612600604	90300	ARAME REDOND ACO-GALV DURA 2,77MM BWG12	KG	0,25	0,25	17,6989	4,424725	PIRAQUÊ
0612600604	90460	CONECTOR GRAMPO LINHA VIVA COBR 2-1/0AWG/8-2/0AWG 100A	UN	1	1	84,655	84,655	PIRAQUÊ
0612600604	90462	HASTE ATERRAMENTO CIRC S/RSC 2400MM 14,3MM 0.254MMM	UN	8	8	114,76	918,08	PIRAQUÊ
0612600604	90498	ELO FUSIVEL DISTRIBUICAO TIPO H 1A 500MM	UN	2	2	6,07	12,14	PIRAQUÊ
0612600604	90548	CHAVE FUSIVEL DISTR BSC 36,2KV 300A 1F MAN SEC	PC	1	1	271,86	271,86	PIRAQUÊ
0612600604	90586	CAPA PROTETORA TRANSF MT PEAD 15/36,2KV 135X110MM	UN	1	1	11,26	11,26	PIRAQUÊ
0612600604	90797	CONECTOR CUNHA ALUM CN-13 6,55-10,11/5,18-8,38MM VRM	UN	5	5	6,775	33,875	PIRAQUÊ
0612600604	90837	MASSA PARA CALAFETAR NA COR CINZA	KG	1	1	8,51	8,51	PIRAQUÊ
0612600619	90056	TRANSF DISTR AER OMI 3F 13,8KV 380/220V 112,5KVA CL2 4TP	UN	1	1	22003,225	22003,225	ARAGUAÍNA
0612600619	90208	PARA-RAIOS DISTR BT POLIM 220V 10KA OX MT S/CENT RSI	UN	3	3	16,49	49,47	ARAGUAÍNA
0612600619	90210	PARA-RAIOS DISTR MT POLIM 12KV 10KA OX ZN S/CENT S/FERR	UN	3	3	109,41	328,23	ARAGUAÍNA
0612600619	90266	CABO ALUM PROT SPL XLPE 1F 15,0KV 50MM2 BLOQ CNZ	M	6	6	5,97	35,82	ARAGUAÍNA
0612600619	90353	CONECTOR DERIV PERF RSI CB/CB 1,0KV 16-120MM2/4,0-35MM2	UN	3	3	11,875	35,625	ARAGUAÍNA
0612600619	90586	CAPA PROTETORA TRANSF MT PEAD 15/36,2KV 135X110MM	UN	3	3	11,26	33,78	ARAGUAÍNA
0612600619	92068	CABO COBRE ISOLAD 450/750V BWF/PVC 10MM2 CL2/4/5 AZL	M	6	6	6,94	41,64	ARAGUAÍNA
0612600628	90208	PARA-RAIOS DISTR BT POLIM 220V 10KA OX MT S/CENT RSI	UN	2	2	16,49	32,98	ARAGUAÍNA
0612600628	90212	PARA-RAIOS DISTR MT POLIM 30KV 10KA OX ZN S/CENT S/FERR	UN	1	1	182,19	182,19	ARAGUAÍNA
0612600628	90257	CABO ACO COBREADO 1F LCA IACS53% 7X2,06MM 25MM2	KG	4	4	82,62	330,48	ARAGUAÍNA
0612600628	90299	PORTA FUSIVEL CHAVE BASE C 36,2KV 100A 375MM CNZ	PC	1	1	91,344	91,344	ARAGUAÍNA
0612600628	90341	CONECT TERM ESTRANG CB/BAR ALUM 2F 106X22MM 9.00-9.70MM	UN	3	3	38,04	114,12	ARAGUAÍNA
0612600628	90462	HASTE ATERRAMENTO CIRC S/RSC 2400MM 14,3MM 0.254MMM	UN	8	8	114,76	918,08	ARAGUAÍNA
0612600628	90489	CONECTOR ATERR CUNHA TRANSV COBRE CB/HST 25-35MM2 14,3MM	UN	8	8	13,96	111,68	ARAGUAÍNA
0612600628	90499	ELO FUSIVEL DISTRIBUICAO TIPO H 2A 500MM	UN	1	1	5,1505	5,1505	ARAGUAÍNA
0612600628	90586	CAPA PROTETORA TRANSF MT PEAD 15/36,2KV 135X110MM	UN	1	1	11,26	11,26	ARAGUAÍNA
0612600628	90797	CONECTOR CUNHA ALUM CN-13 6,55-10,11/5,18-8,38MM VRM	UN	3	3	6,775	20,325	ARAGUAÍNA
0612600628	90837	MASSA PARA CALAFETAR NA COR CINZA	KG	1	1	8,51	8,51	ARAGUAÍNA
0612600628	91639	TRANSF DISTR AER OVI 1F 19,919KV 440/220V 25KVA CL2 5TP	UN	1	1	7717,245	7717,245	ARAGUAÍNA
0612600628	92068	CABO COBRE ISOLAD 450/750V BWF/PVC 10MM2 CL2/4/5 AZL	M	2	2	6,94	13,88	ARAGUAÍNA
0612600651	90085	TRANSF DISTR AER OMI 3F 34,5KV 380/220V 150KVA CL2 4TP	UN	1	1	27730,505	27730,505	SANTA FÉ DO ARAGUAIA
0612600651	90212	PARA-RAIOS DISTR MT POLIM 30KV 10KA OX ZN S/CENT S/FERR	UN	1	1	182,19	182,19	SANTA FÉ DO ARAGUAIA
0612600651	90266	CABO ALUM PROT SPL XLPE 1F 15,0KV 50MM2 BLOQ CNZ	M	5	5	5,97	29,85	SANTA FÉ DO ARAGUAIA
0612600651	90342	CONECT TERM ESTRANG CB/BAR ALUM 2F 123X25MM 11.20-12.30MM	UN	6	6	59,585	357,51	SANTA FÉ DO ARAGUAIA
0612600651	90353	CONECTOR DERIV PERF RSI CB/CB 1,0KV 16-120MM2/4,0-35MM2	UN	3	3	11,875	35,625	SANTA FÉ DO ARAGUAIA
0612600651	90460	CONECTOR GRAMPO LINHA VIVA COBR 2-1/0AWG/8-2/0AWG 100A	UN	3	3	84,655	253,965	SANTA FÉ DO ARAGUAIA
0612600651	90472	CONEC DERIV CUNHA-RML COBR II 3,17-8,12/3,17-5,21MM VD	UN	3	3	5,565	16,695	SANTA FÉ DO ARAGUAIA
0612600651	90500	ELO FUSIVEL DISTRIBUICAO TIPO H 3A 500MM	UN	3	3	5,1505	15,4515	SANTA FÉ DO ARAGUAIA
0612600651	90586	CAPA PROTETORA TRANSF MT PEAD 15/36,2KV 135X110MM	UN	3	3	11,26	33,78	SANTA FÉ DO ARAGUAIA
0612600651	90826	CONEC TERM CPR CB/BAR RT RLD ALUM 1F 7,70-8,60MM 85X23MM	UN	4	4	4,89	19,56	SANTA FÉ DO ARAGUAIA
0612600651	92068	CABO COBRE ISOLAD 450/750V BWF/PVC 10MM2 CL2/4/5 AZL	M	1	1	6,94	6,94	SANTA FÉ DO ARAGUAIA
0612600655	90212	PARA-RAIOS DISTR MT POLIM 30KV 10KA OX ZN S/CENT S/FERR	UN	1	1	182,19	182,19	XAMBIOÁ
0612600655	90341	CONECT TERM ESTRANG CB/BAR ALUM 2F 106X22MM 9.00-9.70MM	UN	3	3	38,04	114,12	XAMBIOÁ
0612600655	90498	ELO FUSIVEL DISTRIBUICAO TIPO H 1A 500MM	UN	1	1	6,07	6,07	XAMBIOÁ
0612600655	90586	CAPA PROTETORA TRANSF MT PEAD 15/36,2KV 135X110MM	UN	1	1	11,26	11,26	XAMBIOÁ
0612600655	90826	CONEC TERM CPR CB/BAR RT RLD ALUM 1F 7,70-8,60MM 85X23MM	UN	1	1	4,89	4,89	XAMBIOÁ
